edge_id,node_name,time_slot,edge_name_description,group_name,role
Event_Communication_51,Himark Harbor,2040-10-01,Himark Harbor to Marlin. We understand your concerns about t…,,
Event_Communication_53,Marlin,2040-10-01,"Oceanus City Council, this is Marlin. These new regulations …",,
Event_Communication_53,Oceanus City Council,2040-10-01,"Oceanus City Council, this is Marlin. These new regulations …",,
Event_Communication_54,Marlin,2040-10-01,"Marlin, this is Oceanus City Council. We hear your concerns …",,
Event_Communication_54,Oceanus City Council,2040-10-01,"Marlin, this is Oceanus City Council. We hear your concerns …",,
Event_Communication_59,Azure Cove,2040-10-01,Mako to Remora. How's visibility in your sector? We've docum…,,
Event_Communication_59,Mako,2040-10-01,Mako to Remora. How's visibility in your sector? We've docum…,,
Event_Communication_59,Dolphin Bay,2040-10-01,Mako to Remora. How's visibility in your sector? We've docum…,,
Event_Communication_59,Remora,2040-10-01,Mako to Remora. How's visibility in your sector? We've docum…,,
Event_Communication_62,Nemo Reef,2040-10-01,"Reef Guardian, Green Guardians HQ here. We've noted increase…",,
Event_Communication_62,Green Guardians,2040-10-01,"Reef Guardian, Green Guardians HQ here. We've noted increase…",,
Event_Communication_62,Reef Guardian,2040-10-01,"Reef Guardian, Green Guardians HQ here. We've noted increase…",,
Event_Communication_64,Sam,2040-10-01,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepa…",,
Event_Communication_64,Sailor Shifts Team,2040-10-01,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepa…",,
Event_Communication_64,Sailor Shift,2040-10-01,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepa…",,
Event_Communication_64,Samantha Blake,2040-10-01,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepa…",,
Event_Communication_64,Nemo Reef,2040-10-01,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepa…",,
Event_Communication_66,Nemo Reef,2040-10-01,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef …",,
Event_Communication_66,Glitters Team,2040-10-01,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef …",,
Event_Communication_66,Sam,2040-10-01,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef …",,
Event_Communication_67,Samantha Blake,2040-10-01,"Hello Oceanus City Council, this is Samantha Blake. I'm subm…",,
Event_Communication_67,Nemo Reef,2040-10-01,"Hello Oceanus City Council, this is Samantha Blake. I'm subm…",,
Event_Communication_67,Oceanus City Council,2040-10-01,"Hello Oceanus City Council, this is Samantha Blake. I'm subm…",,
Event_Communication_67,Sam,2040-10-01,"Hello Oceanus City Council, this is Samantha Blake. I'm subm…",,
Event_Communication_69,Nemo Reef,2040-10-01,"Green Guardians, this is Sentinel. While patrolling western …",,
Event_Communication_69,Green Guardians,2040-10-01,"Green Guardians, this is Sentinel. While patrolling western …",,
Event_Communication_69,Sentinel,2040-10-01,"Green Guardians, this is Sentinel. While patrolling western …",,
Event_Communication_72,Nemo Reef,2040-10-01,"Horizon, Green Guardians HQ here. We're seeing increased tou…",,
Event_Communication_72,Green Guardians,2040-10-01,"Horizon, Green Guardians HQ here. We're seeing increased tou…",,
Event_Communication_72,Sentinel,2040-10-01,"Horizon, Green Guardians HQ here. We're seeing increased tou…",,
Event_Communication_72,Horizon,2040-10-01,"Horizon, Green Guardians HQ here. We're seeing increased tou…",,
Event_Communication_76,Nemo Reef,2040-10-01,"Sentinel, this is Horizon. Received coordinates from Green G…",,
Event_Communication_76,Green Guardians,2040-10-01,"Sentinel, this is Horizon. Received coordinates from Green G…",,
Event_Communication_76,Sentinel,2040-10-01,"Sentinel, this is Horizon. Received coordinates from Green G…",,
Event_Communication_76,Horizon,2040-10-01,"Sentinel, this is Horizon. Received coordinates from Green G…",,
Event_Communication_79,Nemo Reef,2040-10-01,"Horizon, this is Sentinel. Confirming western boundary patro…",,
Event_Communication_79,Sentinel,2040-10-01,"Horizon, this is Sentinel. Confirming western boundary patro…",,
Event_Communication_79,Horizon,2040-10-01,"Horizon, this is Sentinel. Confirming western boundary patro…",,
Event_Communication_85,Sentinel,2040-10-01,"Seawatch, Green Guardians HQ here. We need additional monito…",,
Event_Communication_85,Seawatch,2040-10-01,"Seawatch, Green Guardians HQ here. We need additional monito…",,
Event_Communication_85,Green Guardians,2040-10-01,"Seawatch, Green Guardians HQ here. We need additional monito…",,
Event_Communication_85,Horizon,2040-10-01,"Seawatch, Green Guardians HQ here. We need additional monito…",,
Event_Communication_85,Nemo Reef,2040-10-01,"Seawatch, Green Guardians HQ here. We need additional monito…",,
Event_Communication_87,The Lookout,2040-10-02,The Lookout here! Just spotted some rare sea turtles near Ne…,,
Event_Communication_87,Nemo Reef,2040-10-02,The Lookout here! Just spotted some rare sea turtles near Ne…,,
Event_Communication_89,The Lookout,2040-10-02,"Mrs. Money, it's The Intern. I wanted to follow up on my ear…",,
Event_Communication_89,Nemo Reef,2040-10-02,"Mrs. Money, it's The Intern. I wanted to follow up on my ear…",,
Event_Communication_89,Mrs. Money,2040-10-02,"Mrs. Money, it's The Intern. I wanted to follow up on my ear…",,
Event_Communication_89,The Intern,2040-10-02,"Mrs. Money, it's The Intern. I wanted to follow up on my ear…",,
Event_Communication_90,Nemo Reef,2040-10-02,"Intern, it's Mrs. Money. Yes, we're aware of conservation co…",,
Event_Communication_90,Mrs. Money,2040-10-02,"Intern, it's Mrs. Money. Yes, we're aware of conservation co…",,
Event_Communication_91,Nemo Reef,2040-10-02,"Intern, Mrs. Money here. Focus specifically on turtle migrat…",,
Event_Communication_91,Mrs. Money,2040-10-02,"Intern, Mrs. Money here. Focus specifically on turtle migrat…",,
Event_Communication_92,The Lookout,2040-10-02,"Hey The Lookout, The Intern here! Just finished gathering th…",,
Event_Communication_92,Mrs. Money,2040-10-02,"Hey The Lookout, The Intern here! Just finished gathering th…",,
Event_Communication_92,The Intern,2040-10-02,"Hey The Lookout, The Intern here! Just finished gathering th…",,
Event_Communication_94,The Lookout,2040-10-02,The Lookout here! Those sea turtles were pretty close to sho…,,
Event_Communication_94,Nemo Reef,2040-10-02,The Lookout here! Those sea turtles were pretty close to sho…,,
Event_Communication_95,Haacklee Harbor,2040-10-02,Haacklee Harbor responding to Osprey inquiry. We have three …,,
Event_Communication_95,Mako,2040-10-02,Haacklee Harbor responding to Osprey inquiry. We have three …,,
Event_Communication_95,Osprey,2040-10-02,Haacklee Harbor responding to Osprey inquiry. We have three …,,
Event_Communication_97,Haacklee Harbor,2040-10-02,"Mako, this is Osprey. Wondering if you're available for char…",,
Event_Communication_97,Mako,2040-10-02,"Mako, this is Osprey. Wondering if you're available for char…",,
Event_Communication_97,Osprey,2040-10-02,"Mako, this is Osprey. Wondering if you're available for char…",,
Event_Communication_99,Mako,2040-10-02,"Himark Harbor, this is Mako. We'll remain docked at slip #14…",,
Event_Communication_99,Davis,2040-10-02,"Himark Harbor, this is Mako. We'll remain docked at slip #14…",,
Event_Communication_99,Himark Harbor,2040-10-02,"Himark Harbor, this is Mako. We'll remain docked at slip #14…",,
Event_Communication_100,Oceanus City Council,2040-10-02,Himark Harbor to Oceanus City Council. Daily report: Minimal…,,
Event_Communication_100,Himark Harbor,2040-10-02,Himark Harbor to Oceanus City Council. Daily report: Minimal…,,
Event_Communication_100,Mako,2040-10-02,Himark Harbor to Oceanus City Council. Daily report: Minimal…,,
Event_Communication_100,Marlin,2040-10-02,Himark Harbor to Oceanus City Council. Daily report: Minimal…,,
Event_Communication_100,Remora,2040-10-02,Himark Harbor to Oceanus City Council. Daily report: Minimal…,,
Event_Communication_102,Nemo Reef,2040-10-02,"Samantha, this is Oceanus City Council. Regarding your Nemo …",,
Event_Communication_102,Oceanus City Council,2040-10-02,"Samantha, this is Oceanus City Council. Regarding your Nemo …",,
Event_Communication_102,Sam,2040-10-02,"Samantha, this is Oceanus City Council. Regarding your Nemo …",,
Event_Communication_103,Sam,2040-10-02,"Hi Sailor Shifts Team, Samantha Blake here. The City Council…",,
Event_Communication_103,Sailor Shifts Team,2040-10-02,"Hi Sailor Shifts Team, Samantha Blake here. The City Council…",,
Event_Communication_103,Sailor Shift,2040-10-02,"Hi Sailor Shifts Team, Samantha Blake here. The City Council…",,
Event_Communication_103,Samantha Blake,2040-10-02,"Hi Sailor Shifts Team, Samantha Blake here. The City Council…",,
Event_Communication_103,Nemo Reef,2040-10-02,"Hi Sailor Shifts Team, Samantha Blake here. The City Council…",,
Event_Communication_106,Nemo Reef,2040-10-02,"EcoVigil, this is Green Guardians HQ. We're documenting mult…",,
Event_Communication_106,Green Guardians,2040-10-02,"EcoVigil, this is Green Guardians HQ. We're documenting mult…",,
Event_Communication_106,Horizon,2040-10-02,"EcoVigil, this is Green Guardians HQ. We're documenting mult…",,
Event_Communication_106,EcoVigil,2040-10-02,"EcoVigil, this is Green Guardians HQ. We're documenting mult…",,
Event_Communication_109,Nemo Reef,2040-10-02,"Horizon, this is EcoVigil. Green Guardians has tasked us to …",,
Event_Communication_109,Green Guardians,2040-10-02,"Horizon, this is EcoVigil. Green Guardians has tasked us to …",,
Event_Communication_109,Horizon,2040-10-02,"Horizon, this is EcoVigil. Green Guardians has tasked us to …",,
Event_Communication_109,EcoVigil,2040-10-02,"Horizon, this is EcoVigil. Green Guardians has tasked us to …",,
Event_Communication_110,Horizon,2040-10-02,"EcoVigil, Horizon here. Affirmative on joint monitoring stat…",,
Event_Communication_110,EcoVigil,2040-10-02,"EcoVigil, Horizon here. Affirmative on joint monitoring stat…",,
Event_Communication_111,Horizon,2040-10-02,"Horizon, EcoVigil here. We'll meet you tomorrow at 0800 at t…",,
Event_Communication_111,EcoVigil,2040-10-02,"Horizon, EcoVigil here. We'll meet you tomorrow at 0800 at t…",,
Event_Communication_112,Horizon,2040-10-02,"EcoVigil, Horizon here. Yes, I have activity logs from the p…",,
Event_Communication_112,EcoVigil,2040-10-02,"EcoVigil, Horizon here. Yes, I have activity logs from the p…",,
Event_Communication_113,Sam,2040-10-02,"Hello Sailor Shifts Team, Samantha Blake here. I've been res…",,
Event_Communication_113,Sailor Shifts Team,2040-10-02,"Hello Sailor Shifts Team, Samantha Blake here. I've been res…",,
Event_Communication_113,Sailor Shift,2040-10-02,"Hello Sailor Shifts Team, Samantha Blake here. I've been res…",,
Event_Communication_113,Samantha Blake,2040-10-02,"Hello Sailor Shifts Team, Samantha Blake here. I've been res…",,
Event_Communication_113,Nemo Reef,2040-10-02,"Hello Sailor Shifts Team, Samantha Blake here. I've been res…",,
Event_Communication_115,Davis,2040-10-02,"Mako, Davis here. Thanks for the site assessment. The Coral …",,
Event_Communication_115,Coral Point,2040-10-02,"Mako, Davis here. Thanks for the site assessment. The Coral …",,
Event_Communication_115,Mako,2040-10-02,"Mako, Davis here. Thanks for the site assessment. The Coral …",,
Event_Communication_115,Dolphin Bay,2040-10-02,"Mako, Davis here. Thanks for the site assessment. The Coral …",,
Event_Communication_115,Rodriguez,2040-10-02,"Mako, Davis here. Thanks for the site assessment. The Coral …",,
Event_Communication_117,Himark Harbor,2040-10-02,Mako to Sailor Shifts Team. Vessel remains docked at Himark …,,
Event_Communication_117,Davis,2040-10-02,Mako to Sailor Shifts Team. Vessel remains docked at Himark …,,
Event_Communication_117,Sailor Shifts Team,2040-10-02,Mako to Sailor Shifts Team. Vessel remains docked at Himark …,,
Event_Communication_117,Sailor Shift,2040-10-02,Mako to Sailor Shifts Team. Vessel remains docked at Himark …,,
Event_Communication_117,Mako,2040-10-02,Mako to Sailor Shifts Team. Vessel remains docked at Himark …,,
Event_Communication_118,Oceanus City Council,2040-10-02,Himark Harbor to Oceanus City Council. Update: Sailors Team …,,
Event_Communication_118,Himark Harbor,2040-10-02,Himark Harbor to Oceanus City Council. Update: Sailors Team …,,
Event_Communication_118,Serenity,2040-10-02,Himark Harbor to Oceanus City Council. Update: Sailors Team …,,
Event_Communication_118,Mako,2040-10-02,Himark Harbor to Oceanus City Council. Update: Sailors Team …,,
Event_Communication_118,Remora,2040-10-02,Himark Harbor to Oceanus City Council. Update: Sailors Team …,,
Event_Communication_119,Serenity,2040-10-02,"Himark Harbor, this is Oceanus City Council. Thank you for y…",,
Event_Communication_119,Oceanus City Council,2040-10-02,"Himark Harbor, this is Oceanus City Council. Thank you for y…",,
Event_Communication_119,Himark Harbor,2040-10-02,"Himark Harbor, this is Oceanus City Council. Thank you for y…",,
Event_Communication_120,The Middleman,2040-10-02,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM toni…",,
Event_Communication_120,Boss,2040-10-02,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM toni…",,
Event_Communication_120,The Intern,2040-10-02,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM toni…",,
Event_Communication_120,Nemo Reef,2040-10-02,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM toni…",,
Event_Communication_120,Mrs. Money,2040-10-02,"Boss, it's Mrs. Money. I'm meeting The Middleman at 7PM toni…",,
Event_Communication_121,Marlin,2040-10-02,"Mako, this is Marlin. Have you seen these new commercial lic…",,
Event_Communication_121,Mako,2040-10-02,"Mako, this is Marlin. Have you seen these new commercial lic…",,
Event_Communication_123,Marlin,2040-10-02,"Marlin, Mako here. The new licensing costs are brutal. I'm m…",,
Event_Communication_123,Mako,2040-10-02,"Marlin, Mako here. The new licensing costs are brutal. I'm m…",,
Event_Communication_123,Davis,2040-10-02,"Marlin, Mako here. The new licensing costs are brutal. I'm m…",,
Event_Communication_124,Marlin,2040-10-02,"Remora, this is Marlin. These new commercial licensing fees …",,
Event_Communication_124,Mako,2040-10-02,"Remora, this is Marlin. These new commercial licensing fees …",,
Event_Communication_124,Remora,2040-10-02,"Remora, this is Marlin. These new commercial licensing fees …",,
Event_Communication_126,Nemo Reef,2040-10-02,"Mr. Jensen, this is Miranda. I've been observing unusual act…",,
Event_Communication_128,Nemo Reef,2040-10-02,"Miranda, this is Clepper. Stay on surveillance at Nemo Reef.…",,
Event_Communication_130,Sailor Shift,2040-10-02,"Mr. Jensen, Miranda reporting in. I've identified three vess…",,
Event_Communication_130,Nemo Reef,2040-10-02,"Mr. Jensen, Miranda reporting in. I've identified three vess…",,
Event_Communication_130,Rodriguez,2040-10-02,"Mr. Jensen, Miranda reporting in. I've identified three vess…",,
Event_Communication_130,Sailor Shifts Team,2040-10-02,"Mr. Jensen, Miranda reporting in. I've identified three vess…",,
Event_Communication_131,Sailor Shift,2040-10-02,"Miranda, Clepper here. Great work identifying those vessels.…",,
Event_Communication_131,Rodriguez,2040-10-02,"Miranda, Clepper here. Great work identifying those vessels.…",,
Event_Communication_131,Sailor Shifts Team,2040-10-02,"Miranda, Clepper here. Great work identifying those vessels.…",,
Event_Communication_132,Rodriguez,2040-10-02,"Miranda, Clepper here. Follow the money trail on Rodriguez. …",,
Event_Communication_134,Rodriguez,2040-10-02,"Mr. Jensen, Miranda reporting. I've accessed public records …",,
Event_Communication_135,Rodriguez,2040-10-02,"Miranda, Clepper here. Get closer to their sampling operatio…",,
Event_Communication_136,Mako,2040-10-02,"Mako, Osprey here again. Just checking if you received my ea…",,
Event_Communication_136,Osprey,2040-10-02,"Mako, Osprey here again. Just checking if you received my ea…",,
Event_Communication_139,Mako,2040-10-02,"Osprey, this is Mako. Received your charter request. Availab…",,
Event_Communication_139,Osprey,2040-10-02,"Osprey, this is Mako. Received your charter request. Availab…",,
Event_Communication_139,Himark Harbor,2040-10-02,"Osprey, this is Mako. Received your charter request. Availab…",,
Event_Communication_141,Mako,2040-10-02,"Mako, Osprey here. Perfect, 0800 at Himark Harbor works for …",,
Event_Communication_141,Osprey,2040-10-02,"Mako, Osprey here. Perfect, 0800 at Himark Harbor works for …",,
Event_Communication_141,Himark Harbor,2040-10-02,"Mako, Osprey here. Perfect, 0800 at Himark Harbor works for …",,
Event_Communication_142,Mako,2040-10-02,"Rodriguez, Mako here. Currently docked at Himark Harbor slip…",,
Event_Communication_142,Davis,2040-10-02,"Rodriguez, Mako here. Currently docked at Himark Harbor slip…",,
Event_Communication_142,Himark Harbor,2040-10-02,"Rodriguez, Mako here. Currently docked at Himark Harbor slip…",,
Event_Communication_142,Rodriguez,2040-10-02,"Rodriguez, Mako here. Currently docked at Himark Harbor slip…",,
Event_Communication_143,Small Fry,2040-10-02,"Mako, this is Small Fry. I can be at slip #14 in about 30 mi…",,
Event_Communication_143,Mako,2040-10-02,"Mako, this is Small Fry. I can be at slip #14 in about 30 mi…",,
Event_Communication_143,Glitters Team,2040-10-02,"Mako, this is Small Fry. I can be at slip #14 in about 30 mi…",,
Event_Communication_145,Mako,2040-10-02,"Himark Harbor, this is Mako. Confirming extended docking at …",,
Event_Communication_145,Davis,2040-10-02,"Himark Harbor, this is Mako. Confirming extended docking at …",,
Event_Communication_145,Himark Harbor,2040-10-02,"Himark Harbor, this is Mako. Confirming extended docking at …",,
Event_Communication_147,Serenity,2040-10-02,Himark Harbor to Serenity. Confirming your premium berthing …,,
Event_Communication_147,Oceanus City Council,2040-10-02,Himark Harbor to Serenity. Confirming your premium berthing …,,
Event_Communication_147,Himark Harbor,2040-10-02,Himark Harbor to Serenity. Confirming your premium berthing …,,
Event_Communication_149,Nemo Reef,2040-10-02,"Liam Thorne, this is Paackland Harbor. Could you provide a d…",,
Event_Communication_149,Paackland Harbor,2040-10-02,"Liam Thorne, this is Paackland Harbor. Could you provide a d…",,
Event_Communication_149,Liam Thorne,2040-10-02,"Liam Thorne, this is Paackland Harbor. Could you provide a d…",,
Event_Communication_150,Paackland Harbor,2040-10-02,"Paackland Harbor, this is The Middleman. I'll send that vess…",,
Event_Communication_150,The Middleman,2040-10-02,"Paackland Harbor, this is The Middleman. I'll send that vess…",,
Event_Communication_152,Nemo Reef,2040-10-02,"Sentinel, Paackland Harbor here. Please conduct additional m…",,
Event_Communication_152,Paackland Harbor,2040-10-02,"Sentinel, Paackland Harbor here. Please conduct additional m…",,
Event_Communication_152,Sentinel,2040-10-02,"Sentinel, Paackland Harbor here. Please conduct additional m…",,
Event_Communication_153,Nemo Reef,2040-10-02,"Rodriguez, Remora here. While we wait for Sailors team to re…",,
Event_Communication_153,Rodriguez,2040-10-02,"Rodriguez, Remora here. While we wait for Sailors team to re…",,
Event_Communication_153,Remora,2040-10-02,"Rodriguez, Remora here. While we wait for Sailors team to re…",,
